,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
4575,820,29,Unique soft and comfy fall top,I love maeve designs in general and find that their sizing and quality is consistent. this top is so soft and a bit billowy.. the darker pattern in the black motif combined with the lightweight nature of the material make it perfect for fall. i love the little details: staggered/ paired buttons down the front and interesting seaming that isn't as apparent in the photos. considering another color as well...,5,1,1,General,Tops,Blouses
4681,871,33,Great pops of color for the end of summer,"The colors of this top are my favorite part, i want to hold onto summer for as long as possible and this time lets me do that!",4,1,1,General Petite,Tops,Knits
5008,868,72,"All-around quality, but big","This is a top-flight notch: an attractive design, nicely made. for me, the fabric is rather heavy for summer wear, but that won't prevent me from keeping it for cooler days. my one complaint is the sizing. i weigh a bottom-heavy 146 lbs. and hoped i'd get away with a medium. but it swims on me...not ""a bit too large,"" but ""way too large."" i'm returning it and hoping that a small will be small enough.",4,1,4,General,Tops,Knits
5094,1078,51,Small,"Too tight in strange ways. beautiful dress i was so excited to receive it, however it just did not fit.",1,0,0,General,Dresses,Dresses
5182,854,39,This looked surprizingly really cute in person,"I didn't expect the fit to be as cute, i am not sure i like how the model is wearing this top, but untucked, or more tucked both look more falttering on. the color is more vibrant in person, still light turquoise, but richer. i don't think i nbeed petite in this as it is blousy, but not oversized or boxy.",5,1,6,General,Tops,Knits
5231,1033,57,Cute pants,These pants are a really pretty color and feel nice on. the fit was great and did not really shrink with washing. i received a lot of compliments the first time i wore them.,5,1,0,General Petite,Bottoms,Jeans
5242,992,41,,,4,1,0,General,Bottoms,Skirts
5293,867,70,Comfort & style in one great top!,"The design is loose and forgiving, and it is very comfortable. the fabric is soft and light weight, and i love how the sleeves are full cut so even those without stick arms can fit in them! it drapes beautifully and is quite lovely on. you can easily dress it up with jewelry or wear it over jeans for a great go-to top on the weekend. i also bought the purple version - it says it's mauve in the description, but it's really more of a pale lavender color. still very pretty, but i wish it was mauve!",5,1,2,General Petite,Tops,Knits
5329,895,54,Retailer clothes,I love all my retailer clothes! it's my favorite store! i even love the displays!,5,1,0,General,Tops,Fine gauge
5354,965,41,Wish it worked,"I had such high hopes for this jacket based on the photo, i even waited for it to come back in stock. the detail is beautiful but it is shapeless and boxy. for reference i ordered xs, and i am usually a 0/2 on top (small chested). it might look better on someone with a larger chest but looked like a sack on me. so disappointing.",3,0,6,General,Jackets,Jackets
5607,937,63,Graphic appeal,"I tend to like grey, black simple clothes with a splash here and there for everyday. this will be perfect in the fall/winter. it is wool, so be prepared for the felted wool feel, but it is casual comfortable. i am 5' 4"" and boxy. the medium is still roomie on me but that is how i like it.",4,1,1,General,Tops,Sweaters
5854,1033,26,Classic flare jean,These give an amazing slimming effect and i love the dark wash and fit on the waist. only negative is that being 5'4 and a size 30 the length of the pants is a few inches too long for me. i still love them but will have to wear heels with them always.,4,1,1,General Petite,Bottoms,Jeans
6300,866,49,Pretty but...,Very pretty top. however you absolutely need to try it on before ordering. fit well in the chest area but way too big in the sides - i looked pregnant. had to return.,3,1,0,General,Tops,Knits
6515,1033,43,Good quality,These jeans fit very well and of good quality . i think they need to be broken into a bit like most new jeans. overall i am happy with my purchase!,4,1,0,General,Bottoms,Jeans
6517,1020,40,Cute and comfy skirt,This skirt is really cute and very comfortable. i can dress it up for work or dress it down for casual. fun color too.,5,1,0,General,Bottoms,Skirts
6865,1077,40,My favorite,This is one of my favorite retailer dresses of all time. it is soo much better in person and on than the stock photos. very romantic and fun.,5,1,0,General,Dresses,Dresses
6913,860,50,Quintessential white top,This feels so nice and light and summery. nothing like a crisp white top for the season.,4,1,0,General,Tops,Knits
6967,663,39,The material is lightweight and comfortable.,The only draw back are the slits on the side. they are too high and if you turn sideways at some angles you can see your cheeks. i will have them sewn up a bit because i love the dress and it is worth it.,4,1,0,Initmates,Intimate,Lounge
7055,1078,36,Maeve stunner,"This dress is gorgeous, well made, lined, and tts. i get compliments each time i wear it and find it unique yet classy and appropriate for work. unlike some of the maeve tops i have purchased this year, it does not run big, and if you are banking on a little stretch, i would order the next size up. you won't be disappointed!",5,1,0,General,Dresses,Dresses
7164,863,20,,I tried this on in store in a small and then ordered the medium online i loved it so much! i generally run a small/medium with retailer so i thought this was pretty true to size. i'm also longer through the torso so the medium is better for me to cover my stomach when tied.  it is on the thinner side but not see through. perfect for layering and for a mild california winter. can't wait for it to come!,5,1,0,General,Tops,Knits
7186,868,67,Effortless beauty!,"I have been eyeing this top for a couple weeks and finally found it in my store. it was a good sign when i saw our stores in-house stylist wearing it! i absolutely love the fit--it's soft and stretchy and fabric is nice quality. i'm typically a medium, sometimes large--i bought the medium and it's perfect. i could have gone down to a small as well. the large was way too big (for reference i'm 5'8"", athletic, 150lbs). this top is going to take me everywhere this summer! worth a try!",5,1,2,General,Tops,Knits
7196,860,29,Love this!!!,Loved this so much i bought it in black and in grey. it fits perfectly and it lays awesomely!! i ended up buying the black in medium and the grey in large for a bit of a different look for each. i usually wear a medium or large so i'd say it fits super true to size - just depends on how you want it to fit!,5,1,1,General,Tops,Knits
7223,869,34,Loose comfy shirt,I found it hard to pair with bottoms. fit wasn't very flattering for me.,3,1,0,General,Tops,Knits
7314,1177,30,Fun swim top,"I ordered this in an xs and it fits well. however, if you have a bigger bust this top may be a problem. i wear a b cup and it fits me well.",5,1,0,Initmates,Intimate,Swim
7467,862,32,Just what i wanted,This top is exactly what i was expecting. super comfortable while still looking stylish. just covers your bum so you can wear it with leggings or jeans!,5,1,1,General,Tops,Knits
7505,105,48,Perfect stylish comfort,"First off, these are great because they are not so tight like all other work out crops that my anatomy is not a mystery to people around me. i have an athletic build and these pants are awesome in that they hug the body lightly. they are so soft and comfy also. perfect for running and the gym and apres whatever. i bought a back up pair.",5,1,0,Initmates,Intimate,Lounge
7623,1001,48,Gorgeous but pricy,"I found this skirt in a size 8 at my local retailer store. i admired it on the website but to see and feel it in person was very appealing. i tried it on and it fit beautifully, a style that looks great on my figure. i love the mohair weave of the color block sections. the negative is this skirt is really pricy but i had my birthday discount and since the size 8 was sold out online and this skirt must have been a return the chances of it going on sale in a size 8 were very slim. i am still admirin",5,1,3,General,Bottoms,Skirts
7628,816,66,Soft and flattering!,"This is a very flattering blouse, but it should be noted that holding horses tends to run large in size, so order down. the fabric is 100% cotton, gauzy and light. it is very soft on the skin. i was a bit uncertain whether to keep it at first because it required a bit of adjusting in the way it falls once on, but i decided to keep it and i'm glad i did. it is nice looking with jeans and leggings because the back of the blouse is longer, and because of the lightness of the fabric, it does not app",5,1,3,General,Tops,Blouses
7846,1078,44,Confirmed: a tent,"I should have listened to previous reviewers. but the dress looks so good on the model in the two dimensional pictures. when it arrived in the mail, i realized this is a mistake. it has no shape, material is poofy and feels cheap. it is going back.",1,0,1,General Petite,Dresses,Dresses
7892,866,33,,,4,1,0,General Petite,Tops,Knits
8021,1099,34,Super soft but can make you look frumpy,"Dress is silk? it's soft and pretty. it's blue so you can wear brown or blue suede boots!
i caught my reflection a few times and thought i looked really bottom heavy. dress is awesome. worth it.",5,1,0,General Petite,Dresses,Dresses
8024,868,35,,,4,1,0,General,Tops,Knits
8081,1078,29,Love this dress!!!,"Saw this in store today and had to have it. the pink is a really bright pink - definitely more of a hot pink than it appears in the image online. i am a solid 10, and i bought this in an 8, so it definitely runs a size large. highly recommend!",5,1,3,General Petite,Dresses,Dresses
8238,17,31,Love this dress!,"I absolutely love this dress! i got it right after my first baby was born to wear to an outdoor, early october wedding. it was perfect! the fit is flattering and the dress is well made. it's a classy, elegant dress and i have worn it many times since.",5,1,0,General,Dresses,Dresses
8609,260,29,Beautiful!,"This vest was a must-have the minute i saw it! i usually stick to the sale section, but this was a worthy exception. i love the reversible option! i bought the matching leggings as well, and have worn them with the smaller floral motif...so many compliments! i teach barre, so i figured i would wear this to and from the studio, but i find myself reaching for it to go over all my regular clothes too! the only draw back is the zipper. i'm sure its because it is reversible, however, the zipper hasn'",5,1,2,Initmates,Intimate,Lounge
8630,774,45,"Comfortable cute, very casual dress","This is made of soft, sweatshirt material. it is one of those dresses that you can put on with sandals or birkinstocks and go out to breakfast or throw it on to go to the beach or wear after yoga. this is not a ""dressy"" dress. that said, i love it. i used to have a sweatshirt dress from another brand that i wore out and have been searching for the replacement. this color is a pale celadon, a tad bit more vibrant than the photo, which makes it more flattering than you may think. i wear a 4-6 and",4,1,0,Initmates,Intimate,Lounge
8667,1078,20,The best dress ever.,"This dress is absolute perfection. the quality of the dress is great, the fit is comfortable and it's such a fun summer dress. the slip underneath fits perfectly the outer layer is delicate yet durable.",5,1,1,General Petite,Dresses,Dresses
8679,260,46,Aquaflora vest,"So much prettier in person. love it! i'm a size 2 in retailer and a small in this vest, even over a sweater still left quite a bit of room.",5,1,0,Initmates,Intimate,Lounge
8743,952,49,The birds and the beads!,"This cardigan is not my usual color choice, but the details were so beautiful i had to buy it when i saw it at the store. the birds and flowers are detailed with sparkly little beads that are prettier in reality than you can see in these photos. it's also a versatile piece that can be worn in many ways and dressed up or down. i'm only 5'1"" but i didn't need the petite (which is good since it is sold out in petite). the sleeves are cropped so they don't hang too low for me. the sweater is hand wa",5,1,0,General,Tops,Sweaters
8748,927,49,Love the overall look of this piece!,"I love the overall look and comfort of this piece. my only negative is that since it is not lined, the folds in the material on the inside are somewhat noticeable, especially in the shoulder areas. i guess since it is a light color it is more obvious to me, but it is not something that would make me return it. it is comfortable and looks great on.",4,1,0,General,Tops,Sweaters
8773,1151,43,Flattering!,"Beautiful dress! love the colors and fit. can be dressed up or down. the only negative is that the buttons fall off. this is my third dress and it too lost a button the first time i wore it. i don't live near an retailer store so i will be keeping it anyways, as this is already my third dress :( my advice would be to reinforce the three buttons as soon as you buy it. there is one at the top, front of the dress and one on each sleeve.",4,1,10,General,Dresses,Dresses
8845,725,53,Completely see through,"I thought this tank would be so cute and comfy for my daily walks, but it's completely see through.  i sized down one size based on a review from another website and it fits ok, but it's hard to say if it runs tts because i have nothing to compare it to.  if the fabric was a little thicker, this would be the perfect tank.  unless your planning on layering this, i wouldn't recommend.",3,0,0,Initmates,Intimate,Lounge
9012,61,36,Great quality tank,"I love these tanks. the straps are wide enough to hide my bra straps. they're soft. and long enough to give me added length to shirts that run short. because this tank runs small and i had to size up to get the fit that i like, the straps are a little long, but after i alter them with a little sewing, they're perfect. i've had to do this with retailer tanks in the past, and it's worth it to me for the quality that i'm getting. the regular price is too high, so i only buy them on sale. i try",5,1,0,Initmates,Intimate,Layering
9105,828,36,,I really liked the style and fit of this shirt but i'm giving it a 2 because i shirt should last longer than 6 months. i've taken it to the cleaners 2 times and the fabric behind the tag beneath the collar has fallen apart and there are holes.,2,0,0,General,Tops,Blouses
9108,1123,33,,Love this jacket! it is incredibly soft and expensive looking. i love the details with the zippers on the sleeves and very cute lining inside the jacket which is not pictured. i ordered my usual size xxsp and it fit great. this brand does run small so if you are between sizes or prefer a looser fit you should order a size up.,5,1,7,General,Jackets,Outerwear
9115,1094,43,Beautiful,"There is some confusion in the first few reviews over the image, but the dress has a medium green lace and does not have a cut out at the front of the neck. it runs more true to size than some dresses at antrho -- my size is a small 6 petite (meaning that i often end up in a 4) and the six is perfect. 

the dress hangs gorgeously and fits fabulously. the zipper is a bit hard to get through the seams and lace, but worth it.

it has a formal feel, but i think it can be made casual with shoes a",5,1,1,General Petite,Dresses,Dresses
9482,854,27,Classic,"I love this blouse! it is such a classic silhouette. the fit is not so loose on me as the model, but i have a much more curvy figure at a size 14/large. i am completely coverd up in this top, and the waistline is incredibly flattering to a full figure. the lace makes this top easily able to go from dressy to casual. i can see myself wearing this top again and again. great purchase.",5,1,2,General,Tops,Knits
9606,872,31,Perfect summer top,"I love this top! it's the perfect lightweight top for summer and the details are so feminine and pretty. the fit is extremely flattering. the arm holes are not too large (i.e. do not have to worry about exposing bra). i think you can dress it up with heels, wear it casually with shorts, & also pairs perfectly with kimonos. i'm 5'4, 130 # and i took my usual retailer size in this, size small.",5,1,2,General,Tops,Knits
9617,868,59,Cute top,"I like the top; like the tie in the front. the material is stretchy. would imagine this will work for any size of chest. i wear either a small or medium, so thought i'd be safe order the medium, which turned out to fix more like a large. i'm taking it back for the small.....as it's a keeper.",5,1,12,General,Tops,Knits
9779,933,64,,"Great style and fit. will look great with jeans, skirt or leggings!",5,1,1,General Petite,Tops,Sweaters
10076,1110,39,Such a disappointment!,"I fell in love with this dress but when i received it in the mail, i was really surprised to see that unlike the picture online, the slip underneath is a nude color. it fit well and i decided to keep it. i wore it for the first time today and felt great in it. i was driving with my son in the back seat, i turned to hand him something and the entire right side of the dress (where the crocheting is) ripped open!! i cannot believe how poor the quality is at this price!",1,0,2,General,Dresses,Dresses
10311,1110,40,Beautiful and unique,"This dress is gorgeous in color and print; i think it can be styled as eclectic or elegant as you'd like. definitely runs big in the shoulder/bodice area, so i sized down.",5,1,2,General,Dresses,Dresses
10336,148,54,Live this,So nice. lightweight flannel with precious contrasting gingham cuffs. will look stylish on all heights. very impressed with the styling and construction. fits slightly larger than tts but figured that was to account for potential shrinkage.,5,1,20,Initmates,Intimate,Sleep
10621,838,34,Photos on model misleading,"The concept of this top is cool and the outer fabric is nice. the inner layer is sheer but as long as you're wearing a nude-colored bra, no big deal. however i did find the inner layer to be scratchy. they must've photoshopped the fit of the top on the model or altered the top, because it looks like it hangs straight on her. i ordered an xs and when you pull it out of the package, it clearly flares out & is a-line. so as a previous reviewer stated, it looks huge from the front. if it had fit the",2,0,1,General,Tops,Blouses
10626,1060,53,Finally--pants for real women!,"These are the best trousers i have bought in a long time! i'm 5'8 and 145 pounds and the 8 fit with a bit of extra room in the waist--not enough to size down. i love that they are not ""skinny""--so over the skinny fit. i plan to wear these with black heels, white tee, and the vegan black leather jacket i purchased at the same time--oh, and a statement necklace--always a statement necklace. these are a must for every fall wardrobe! more pants like these, please!",5,1,3,General Petite,Bottoms,Pants
11029,872,35,Cute top,This top is really pretty & i think i will be happy when i pull it out in the spring to wear it. the only complaint is that the front is very sheer. you have to wear an under shirt of some kind.,4,1,0,General,Tops,Knits
11146,862,41,Lots of material,"I ordered this in a medium and although the details/design of the shirt were cute, the ""swing"" did not work for me this time around. i typically like looser fitting tops, but with this shirt i felt like there was just too much material and made me feel like i was wearing a tent.",3,1,3,General,Tops,Knits
11149,862,33,,"My favorite shirt!!! i wear it when i don't want to be in the sun too long, it has breathable material in the armpit. i loved so much ordered in other colors. i wish they would make in more colors!",5,1,0,General,Tops,Knits
11270,1096,32,Too much,"This dress could have been great but for me there was too much design on the top part/ front. i wish the neckline was different or just less beadwork/ design near my face.
all in all its a maxi dress and was returned because approx. $250 was too much to spend on this.",3,1,0,General Petite,Dresses,Dresses
11641,950,38,,,4,1,0,General,Tops,Sweaters
11763,1022,42,Summer jeans!!!!,Love these jeans for summer! i followed the advice of previous reviewers and sized down to a 26. after wearing these for a few hours they stretched a little and fit great!! they look sweet with the palo alto blouse and the embroidered edessa top. highly recommend!,5,1,0,General,Bottoms,Jeans
11850,333,39,,,3,1,0,General,Bottoms,Shorts
11861,879,56,A structured t shirt finally! tts for most!,"This must be the only structured t shirt at retailer at the time of this review. i love it. the neckline is perfection. the ruched sleeves are long enough to cover my upper arms. i found it a bit see through, and added a white cami.

sizing: i ordered an xs. normally i wear a small in retailer brands, and a med in most other brands. size small t's have been too large lately. i'm 5'5"" tall, 135 lbs, 35-29-36, 34d, long torso, narrow across the shoulders, and short arms. 

fit: loose fitting t's l",5,1,19,General Petite,Tops,Knits
11894,964,32,,,1,0,0,General Petite,Jackets,Jackets
11954,869,40,,This is more of an undershirt than a shirt. the material is very very thin and it shows everything. it was beyond unflattering on me. don't buy this unless you have a knockout thin body.,1,0,1,General,Tops,Knits
12130,519,37,Love these yoga crops,"Unbelievably soft fabric that doesn't feel like it will pill. i ordered dark grey. i'm 5'3"" 130 (just after baby) and size m fits well, super-flattering. doesn't smash my buns. the seams are in all the right places to flatter. styling is between ballerina and badass, as i think the ankle wraps look a little tough. i highly recommend.",5,1,0,Initmates,Intimate,Lounge
12252,1110,53,Love the dress,"Very quick delivery. ordered sunday and in my mailbox tuesday before noon! nice fit, length is perfect. i'm 5'3"" and the regular size 6 hits just above the knee. one thing is the nice little button in the back fell off just as i was going to try it on. found on the floor and i will just sew it back on. other than that i love the print and everything about the dress. true to size. ?? retailer",5,1,0,General,Dresses,Dresses
12403,839,52,,Loved it. i have receive so many compliments when i wear this. it fit great.,5,1,1,General,Tops,Blouses
12433,828,36,Staple buttondowns,A must for every closet. very flattering fit - although i think the white is slightly boxier than the chambray.,5,1,0,General,Tops,Blouses
12449,936,60,Stylish,"Love the style of this sweater and it just happens to be warm, too!",5,1,0,General Petite,Tops,Sweaters
12455,936,61,,,5,1,0,General Petite,Tops,Sweaters
12504,936,40,Color not as pictured on website,"I wish i had read the other review about the color of the pink version of this sweater before i ordered it. she was absolutely right - the color is completely different in person. it is this garish pink and brown that looks like it was knit together with remaindered yarn. it's too bad, because the cut of the sweater is cute and the zipper adds a funky touch. maybe the blue is better in person...",2,0,0,General Petite,Tops,Sweaters
12608,1100,29,Runs small,"This is a pretty dress, although it runs smaller and the colors aren't as vibrant as on the website. the waist ran very small for me in a size 10 which is my normal size and normally runs looser in the waist area as i have an hour glass figure. this probably will look very nice on someone smaller.",3,1,0,General Petite,Dresses,Dresses
12964,829,57,,,5,1,0,General Petite,Tops,Blouses
